,Quarter,Tm,Detail,IND,MIA
0,2.0,Dolphins,Mark Higgs 2 yard rush (Pete Stoyanovich kick),0,7
1,2.0,Colts,Rodney Culver 4 yard rush (Dean Biasucci kick),7,7
2,3.0,Dolphins,Mark Duper 48 yard pass from Dan Marino (Pete Stoyanovich kick),7,14
3,3.0,Colts,Clarence Verdin 84 yard punt return (Dean Biasucci kick),14,14
4,4.0,Colts,Dean Biasucci 32 yard field goal,17,14
5,4.0,Dolphins,Tony Martin 12 yard pass from Dan Marino,17,20
6,4.0,Colts,Jeff George 1 yard rush (Dean Biasucci kick),24,20
7,4.0,Colts,Steve Emtman 90 yard interception return (Dean Biasucci kick),31,20
