,Quarter,Tm,Detail,MIL,CRD
0,1.0,Badgers,Dinger Doane 4 yard rush (Red Dunn kick),7,0
1,2.0,Cardinals,Bob Koehler unknown yard rush,7,6
2,2.0,Badgers,Ben Winkelman 35 yard field goal,10,6
3,3.0,Cardinals,"Safety,",10,8
4,3.0,Badgers,Red Dunn 5 yard rush (Red Dunn kick),17,8
