,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,4:47,Bears,Desmond Clark 6 yard pass from Chad Hutchinson (Paul Edinger kick),0,7
1,1.0,1:19,Vikings,Nate Burleson 4 yard pass from Daunte Culpepper (Morten Andersen kick),7,7
2,2.0,11:22,Bears,Paul Edinger 53 yard field goal,7,10
3,2.0,2:23,Vikings,Marcus Robinson 40 yard pass from Daunte Culpepper (Morten Andersen kick),14,10
4,2.0,0:22,Bears,David Terrell 15 yard pass from Chad Hutchinson (Paul Edinger kick),14,17
5,4.0,10:23,Bears,Jason McKie 5 yard pass from Chad Hutchinson (Paul Edinger kick),14,24
