,Quarter,Tm,Detail,NOR,SEA
0,1.0,Seahawks,Sherman Smith 1 yard rush,0,6
1,1.0,Saints,Rich Szaro 46 yard field goal,3,6
2,2.0,Saints,Bobby Douglass 1 yard rush (Rich Szaro kick),10,6
3,2.0,Saints,Bobby Douglass 3 yard rush (Rich Szaro kick),17,6
4,2.0,Saints,Rich Szaro 36 yard field goal,20,6
5,3.0,Saints,Chuck Muncie 3 yard rush (Rich Szaro kick),27,6
6,3.0,Seahawks,Steve Largent 11 yard pass from Bill Munson (John Leypoldt kick),27,13
7,3.0,Saints,Tom Myers 20 yard defensive fumble return (Rich Szaro kick),34,13
8,3.0,Saints,Elex Price 23 yard interception return (Rich Szaro kick),41,13
9,3.0,Saints,Tony Galbreath 2 yard rush (Rich Szaro kick),48,13
10,4.0,Seahawks,Sherman Smith 1 yard rush (John Leypoldt kick),48,20
11,4.0,Saints,Rich Szaro 21 yard field goal,51,20
12,4.0,Seahawks,Jim Zorn 7 yard rush (John Leypoldt kick),51,27
