,Quarter,Tm,Detail,KAN,OAK
0,1.0,Raiders,Charlie Smith 2 yard rush (George Blanda kick),0,7
1,1.0,Raiders,George Blanda 27 yard field goal,0,10
2,2.0,Chiefs,Jan Stenerud 40 yard field goal,3,10
3,2.0,Raiders,Fred Biletnikoff 14 yard pass from Daryle Lamonica,3,16
4,2.0,Raiders,Raymond Chester 19 yard pass from Daryle Lamonica (George Blanda kick),3,23
5,4.0,Raiders,George Blanda 25 yard field goal,3,26
