,Quarter,Tm,Detail,WAS,PHI
0,2.0,Redskins,Curt Knight 40 yard field goal,3,0
1,2.0,Redskins,Curt Knight 14 yard field goal,6,0
2,2.0,Redskins,Roy Jefferson 27 yard pass from Billy Kilmer (Curt Knight kick),13,0
3,3.0,Eagles,Tom Bailey 1 yard rush,13,6
4,4.0,Redskins,Mike Bass 38 yard interception return (Curt Knight kick),20,6
5,4.0,Eagles,Steve Zabel 1 yard pass from Pete Liske (Tom Dempsey kick),20,13
