,Quarter,Tm,Detail,BUF,IND
0,1.0,Colts,Ray Butler 7 yard pass from Mike Pagel (Dean Biasucci kick),0,7
1,2.0,Bills,Joe Danelo 23 yard field goal,3,7
2,2.0,Bills,Joe Dufek 11 yard rush (Joe Danelo kick),10,7
3,2.0,Colts,Dean Biasucci 43 yard field goal,10,10
4,3.0,Bills,Preston Dennard 4 yard pass from Joe Dufek (Joe Danelo kick),17,10
5,3.0,Colts,Randy McMillan 10 yard rush (Dean Biasucci kick),17,17
6,4.0,Colts,Randy McMillan 31 yard rush (Dean Biasucci kick),17,24
7,4.0,Colts,Mark Kafentzis 59 yard interception return (Dean Biasucci kick),17,31
