,Quarter,Time,Tm,Detail,NWE,SDG
0,1.0,5:23,Chargers,Kris Brown 32 yard field goal,0,3
1,1.0,1:00,Patriots,Rob Gronkowski 1 yard pass from Tom Brady (Stephen Gostkowski kick),7,3
2,2.0,6:51,Patriots,Stephen Gostkowski 40 yard field goal,10,3
3,2.0,0:23,Patriots,Stephen Gostkowski 35 yard field goal,13,3
4,3.0,6:25,Patriots,BenJarvus Green-Ellis 1 yard rush (Stephen Gostkowski kick),20,3
5,4.0,14:56,Chargers,Kris Brown 28 yard field goal,20,6
6,4.0,11:27,Patriots,Stephen Gostkowski 35 yard field goal,23,6
7,4.0,7:21,Chargers,Antonio Gates 4 yard pass from Philip Rivers (Kris Brown kick),23,13
8,4.0,4:01,Chargers,Mike Tolbert 1 yard rush (Kris Brown kick),23,20
