,Quarter,Tm,Detail,NWE,STL
0,1.0,Patriots,John Smith 32 yard field goal,3,0
1,2.0,Cardinals,Terry Metcalf 69 yard punt return (Jim Bakken kick),3,7
2,2.0,Patriots,Randy Vataha 11 yard pass from Steve Grogan (John Smith kick),10,7
3,3.0,Patriots,Ray Hamilton 23 yard defensive fumble return (John Smith kick),17,7
4,3.0,Cardinals,Jim Bakken 21 yard field goal,17,10
5,4.0,Cardinals,Terry Metcalf 1 yard rush (Jim Bakken kick),17,17
6,4.0,Cardinals,Terry Metcalf 7 yard rush (Jim Bakken kick),17,24
