,Quarter,Tm,Detail,GNB,BOS
0,1,Packers,Don Hutson 48 yard pass from Arnie Herber (Ernie Smith kick),7,0
1,2,Redskins,Pug Rentner 2 yard rush,7,6
2,3,Packers,Milt Gantenbein 8 yard pass from Arnie Herber (Ernie Smith kick),14,6
3,4,Packers,Bob Monnett 2 yard rush (Tiny Engebretsen kick),21,6
