,Quarter,Tm,Detail,TAM,CHI
0,2.0,Buccaneers,Donald Igwebuike 45 yard field goal,3,0
1,2.0,Bears,Thomas Sanders 1 yard rush (Kevin Butler kick),3,7
2,2.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),3,14
3,3.0,Bears,Dennis McKinnon 20 yard pass from Mike Tomczak (Kevin Butler kick),3,21
4,3.0,Bears,Emery Moorehead 2 yard pass from Mike Tomczak (Kevin Butler kick),3,28
5,3.0,Buccaneers,Bruce Hill 21 yard pass from Vinny Testaverde (Donald Igwebuike kick),10,28
