,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,10:27,Falcons,Matt Bryant 36 yard field goal,0,3
1,1.0,5:58,Saints,Garrett Hartley 33 yard field goal,3,3
2,1.0,0:32,Falcons,Matt Bryant 30 yard field goal,3,6
3,2.0,9:43,Saints,Reggie Bush 6 yard pass from Drew Brees (Garrett Hartley kick),10,6
4,2.0,0:51,Saints,Marques Colston 3 yard pass from Drew Brees (Garrett Hartley kick failed),16,6
5,2.0,0:00,Falcons,Matt Bryant 27 yard field goal,16,9
6,3.0,9:11,Saints,Reggie Bush 21 yard pass from Drew Brees (Garrett Hartley kick),23,9
7,3.0,6:11,Falcons,Michael Jenkins 50 yard pass from Chris Redman (Matt Bryant kick),23,16
8,4.0,12:56,Falcons,Jason Snelling 4 yard rush (Matt Bryant kick),23,23
9,4.0,4:42,Saints,Garrett Hartley 38 yard field goal,26,23
