,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,6:44,Jets,Eric Decker 6 yard pass from Ryan Fitzpatrick (Nick Folk kick),7,0
1,2.0,1:51,Jets,Nick Folk 35 yard field goal,10,0
2,4.0,10:07,Colts,Donte Moncrief 26 yard pass from Andrew Luck (Adam Vinatieri kick),10,7
3,4.0,6:20,Jets,Brandon Marshall 15 yard pass from Ryan Fitzpatrick (Nick Folk kick),17,7
4,4.0,0:57,Jets,Nick Folk 46 yard field goal,20,7
