,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Mark Jackson 32 yard pass from John Elway (David Treadwell kick),0,7
1,2.0,Chargers,John Carney 20 yard field goal,3,7
2,2.0,Chargers,Nate Lewis 2 yard pass from Stan Humphries (John Carney kick),10,7
3,3.0,Broncos,John Elway 8 yard rush (David Treadwell kick),10,14
4,3.0,Chargers,John Carney 27 yard field goal,13,14
5,3.0,Broncos,Shannon Sharpe 34 yard pass from John Elway (David Treadwell kick),13,21
