,Quarter,Tm,Detail,KAN,NYG
0,1.0,Giants,Bobby Hammond 6 yard pass from Joe Pisarcik (Joe Danelo kick),0,7
1,1.0,Giants,Johnny Perkins 21 yard pass from Joe Pisarcik (Joe Danelo kick),0,14
2,2.0,Chiefs,Ted McKnight 2 yard rush (Jan Stenerud kick),7,14
3,2.0,Giants,Larry Csonka 1 yard rush,7,20
4,3.0,Giants,Joe Danelo 41 yard field goal,7,23
5,4.0,Chiefs,Jan Stenerud 24 yard field goal,10,23
6,4.0,Giants,Joe Danelo 40 yard field goal,10,26
