,Quarter,Tm,Detail,NWE,SEA
0,2.0,Patriots,Irving Fryar 5 yard rush (Tony Franklin kick),7,0
1,2.0,Seahawks,Norm Johnson 32 yard field goal,7,3
2,3.0,Seahawks,Norm Johnson 31 yard field goal,7,6
3,3.0,Seahawks,Dave Krieg 3 yard rush (Norm Johnson kick),7,13
4,4.0,Patriots,Craig James 23 yard pass from Steve Grogan,13,13
5,4.0,Patriots,Irving Fryar 13 yard pass from Steve Grogan (Tony Franklin kick),20,13
