,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chargers,"Safety, ball snapped out of end zone",0,2
1,2.0,Chargers,Wes Chandler 7 yard pass from Tom Flick (Rolf Benirschke kick),0,9
2,2.0,Chargers,Tim Spencer 4 yard rush (Rolf Benirschke kick),0,16
3,3.0,Chiefs,Jeff Smith 1 yard pass from Bill Kenney (Nick Lowery kick),7,16
4,4.0,Chiefs,Emile Harry 5 yard pass from Bill Kenney (Nick Lowery kick),14,16
5,4.0,Chiefs,Mike Pruitt 1 yard rush (Nick Lowery kick),21,16
6,4.0,Chargers,Tom Flick 1 yard rush (Rolf Benirschke kick),21,23
7,4.0,Chiefs,Nick Lowery 37 yard field goal,24,23
