,Quarter,Tm,Detail,BAL,MIN
0,1.0,Colts,Dee Mackey 11 yard pass from Johnny Unitas (Dick Bielski kick),7,0
1,2.0,Colts,Tom Matte 3 yard rush (Dick Bielski kick),14,0
2,3.0,Colts,Dick Bielski 37 yard field goal,17,0
3,4.0,Colts,Dee Mackey 17 yard pass from Lamar McHan (Dick Bielski kick),24,0
4,4.0,Vikings,Tommy Mason 2 yard rush (Mike Mercer kick),24,7
5,4.0,Colts,Dick Bielski 40 yard field goal,27,7
6,4.0,Colts,Mark Smolinski 33 yard pass from Lamar McHan (Dick Bielski kick),34,7
