,Quarter,Tm,Detail,RAM,NOR
0,1.0,Saints,Tony Galbreath 3 yard rush (Garo Yepremian kick),0,7
1,2.0,Rams,Wendell Tyler 5 yard rush (Frank Corral kick),7,7
2,2.0,Rams,Wendell Tyler 2 yard rush (Frank Corral kick),14,7
3,2.0,Rams,Ron Jessie 39 yard pass from Pat Haden (Frank Corral kick),21,7
4,2.0,Rams,Terry Nelson 5 yard pass from Pat Haden (Frank Corral kick),28,7
5,3.0,Saints,Garo Yepremian 32 yard field goal,28,10
6,4.0,Saints,Henry Childs 6 yard pass from Archie Manning (Garo Yepremian kick),28,17
7,4.0,Rams,Ron Jessie 24 yard pass from Pat Haden (Frank Corral kick),35,17
