,Quarter,Tm,Detail,DEN,CLE
0,1.0,Browns,Mike Pruitt 1 yard rush (Matt Bahr kick),0,7
1,2.0,Browns,Mike Pruitt 2 yard rush (Matt Bahr kick),0,14
2,2.0,Broncos,Clint Sampson 23 yard pass from John Elway (Rich Karlis kick),7,14
3,2.0,Broncos,Butch Johnson 18 yard pass from John Elway (Rich Karlis kick),14,14
4,2.0,Broncos,Rich Karlis 25 yard field goal,17,14
5,4.0,Broncos,Randy Robbins 62 yard interception return (Rich Karlis kick),24,14
