,Quarter,Time,Tm,Detail,MIA,NWE
0,2.0,14:57,Patriots,Antowain Smith 2 yard rush (Adam Vinatieri kick),0,7
1,2.0,10:58,Patriots,Patrick Pass 23 yard pass from Tom Brady (Adam Vinatieri kick),0,14
2,2.0,4:31,Patriots,Adam Vinatieri 32 yard field goal,0,17
3,2.0,0:57,Patriots,Adam Vinatieri 23 yard field goal,0,20
4,2.0,0:03,Dolphins,Olindo Mare 36 yard field goal,3,20
5,4.0,13:41,Dolphins,Olindo Mare 36 yard field goal,6,20
6,4.0,1:28,Dolphins,Jeff Ogden 10 yard pass from Jay Fiedler (Olindo Mare kick),13,20
