,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,,Patriots,Adam Vinatieri 36 yard field goal,0,3
1,2.0,,Dolphins,Olindo Mare 25 yard field goal,3,3
2,2.0,,Patriots,Troy Brown 35 yard pass from Dave Meggett (Adam Vinatieri kick),3,10
3,2.0,,Patriots,Larry Whigham 60 yard interception return (Adam Vinatieri kick),3,17
4,2.0,,Patriots,Jimmy Hitchcock 100 yard interception return (Adam Vinatieri kick),3,24
5,3.0,,Patriots,Adam Vinatieri 27 yard field goal,3,27
6,3.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),10,27
7,4.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),17,27
8,4.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),24,27
