,Quarter,Tm,Detail,MIA,OAK
0,2.0,Dolphins,Paul Warfield 16 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,2.0,Raiders,Fred Biletnikoff 22 yard pass from Daryle Lamonica (George Blanda kick),7,7
2,3.0,Raiders,Willie Brown 50 yard interception return (George Blanda kick),7,14
3,4.0,Raiders,Rod Sherman 82 yard pass from Daryle Lamonica (George Blanda kick),7,21
4,4.0,Dolphins,Willie Richardson 7 yard pass from Bob Griese (Garo Yepremian kick),14,21
