,Quarter,Time,Tm,Detail,GNB,NYG
0,1.0,12:38,Giants,Andre Brown 2 yard rush (Lawrence Tynes kick),0,7
1,1.0,10:44,Packers,Jordy Nelson 61 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2,1.0,2:38,Giants,Rueben Randle 16 yard pass from Eli Manning (Lawrence Tynes kick),7,14
3,1.0,0:23,Giants,Lawrence Tynes 43 yard field goal,7,17
4,2.0,9:37,Giants,Victor Cruz 9 yard pass from Eli Manning (Lawrence Tynes kick),7,24
5,2.0,3:37,Packers,Mason Crosby 28 yard field goal,10,24
6,2.0,0:44,Giants,Ahmad Bradshaw 13 yard rush (Lawrence Tynes kick),10,31
7,3.0,3:36,Giants,Hakeem Nicks 13 yard pass from Eli Manning (Lawrence Tynes kick),10,38
