,Quarter,Time,Tm,Detail,GNB,CAR
0,1.0,10:12,Panthers,Graham Gano 20 yard field goal,0,3
1,1.0,0:55,Packers,Richard Rodgers 1 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
2,2.0,12:09,Panthers,Cam Newton 1 yard rush (Graham Gano kick),7,10
3,2.0,8:55,Panthers,Greg Olsen 7 yard pass from Cam Newton (Graham Gano kick),7,17
4,2.0,4:59,Panthers,Graham Gano 49 yard field goal,7,20
5,2.0,0:41,Panthers,Corey Brown 39 yard pass from Cam Newton (Graham Gano kick),7,27
6,3.0,14:00,Packers,Randall Cobb 53 yard pass from Aaron Rodgers (Mason Crosby kick),14,27
7,3.0,4:48,Panthers,Graham Gano 22 yard field goal,14,30
8,4.0,9:22,Panthers,Devin Funchess 14 yard pass from Cam Newton (Graham Gano kick),14,37
9,4.0,7:54,Packers,James Starks 29 yard pass from Aaron Rodgers (Davante Adams pass from Aaron Rodgers ),22,37
10,4.0,3:43,Packers,Richard Rodgers 3 yard pass from Aaron Rodgers (Mason Crosby kick),29,37
