,Quarter,Tm,Detail,DAL,PHI
0,2.0,Eagles,Timmy Brown 80 yard pass from King Hill (Mike Clark kick),0,7
1,2.0,Eagles,Timmy Brown 2 yard rush (Mike Clark kick),0,14
2,2.0,Cowboys,Amos Bullocks 4 yard rush (Sam Baker kick),7,14
3,3.0,Eagles,Clarence Peaks 6 yard pass from King Hill (Mike Clark kick),7,21
4,3.0,Eagles,Mike Clark 12 yard field goal,7,24
5,4.0,Cowboys,Amos Marsh 4 yard rush (Sam Baker kick),14,24
6,4.0,Cowboys,Amos Bullocks 1 yard rush (Sam Baker kick),21,24
