,Quarter,Tm,Detail,BUF,CLE
0,1.0,Browns,Jeff Jaeger 22 yard field goal,0,3
1,1.0,Bills,Mark Kelso 56 yard defensive fumble return (Scott Norwood kick),7,3
2,2.0,Browns,Ray Ellis 27 yard defensive fumble return (Jeff Jaeger kick),7,10
3,2.0,Browns,Reggie Langhorne 15 yard pass from Bernie Kosar (Jeff Jaeger kick),7,17
4,3.0,Browns,Webster Slaughter 52 yard pass from Bernie Kosar (Jeff Jaeger kick),7,24
5,4.0,Browns,Jeff Jaeger 40 yard field goal,7,27
6,4.0,Bills,Chris Burkett 13 yard pass from Jim Kelly (Scott Norwood kick),14,27
7,4.0,Bills,Andre Reed 10 yard pass from Jim Kelly (Scott Norwood kick),21,27
