,Quarter,Time,Tm,Detail,BAL,TEN
0,1.0,,Ravens,Matt Stover 38 yard field goal,3,0
1,1.0,,Oilers,Frank Wycheck 36 yard pass from Steve McNair (Al Del Greco kick),3,7
2,2.0,,Ravens,Derrick Alexander 25 yard pass from Vinny Testaverde (Matt Stover kick),10,7
3,2.0,,Ravens,Derrick Alexander 5 yard pass from Vinny Testaverde (Matt Stover kick),17,7
4,2.0,,Oilers,Al Del Greco 45 yard field goal,17,10
5,2.0,,Ravens,Matt Stover 42 yard field goal,20,10
6,3.0,,Ravens,Matt Stover 41 yard field goal,23,10
7,4.0,,Ravens,Jermaine Lewis 16 yard pass from Vinny Testaverde (Matt Stover kick),30,10
8,4.0,,Ravens,Matt Stover 34 yard field goal,33,10
9,4.0,,Ravens,Matt Stover 35 yard field goal,36,10
