,Quarter,Tm,Detail,STL,PIT
0,1.0,Steelers,Willie Daniel 49 yard interception return (Lou Michaels kick),0,7
1,3.0,Steelers,Lou Michaels 35 yard field goal,0,10
2,3.0,Steelers,Lou Michaels 36 yard field goal,0,13
3,4.0,Steelers,Lou Michaels 23 yard field goal,0,16
4,4.0,Cardinals,Sonny Randle 12 yard pass from Charley Johnson (Gerry Perry kick),7,16
5,4.0,Steelers,Lou Michaels 10 yard field goal,7,19
