,Quarter,Tm,Detail,GNB,SIS
0,1.0,Packers,Verne Lewellen unknown yard rush,6,0
1,2.0,Packers,Wuert Engelmann 35 yard rush,12,0
2,2.0,Packers,Bo Molenda 1 yard rush,18,0
3,2.0,Stapletons,Ken Strong 65 yard rush (Ken Strong kick),18,7
4,3.0,Packers,Johnny Blood unknown yard pass from Red Dunn (Red Dunn kick),25,7
5,3.0,Packers,Cal Hubbard unknown yard pass from Red Dunn,31,7
6,4.0,Packers,Paul Fitzgibbon unknown yard pass from Arnie Herber,37,7
