,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,,Lions,Herman Moore 10 yard pass from Scott Mitchell (Jason Hanson kick),0,7
1,2.0,6:33,Packers,Chris Jacke 20 yard field goal,3,7
2,2.0,6:33,Lions,Herman Moore 69 yard pass from Scott Mitchell (Jason Hanson kick),3,14
3,2.0,6:33,Packers,Robert Brooks 77 yard pass from Brett Favre (Chris Jacke kick),10,14
4,2.0,6:33,Lions,Herman Moore 29 yard pass from Scott Mitchell (Jason Hanson kick),10,21
5,3.0,6:33,Packers,Chris Jacke 50 yard field goal,13,21
6,3.0,6:33,Packers,Chris Jacke 28 yard field goal,16,21
7,4.0,6:33,Lions,Jason Hanson 38 yard field goal,16,24
