,Quarter,Time,Tm,Detail,IND,SDG
0,1.0,14:47,Chargers,Darren Sproles 89 yard kickoff return (Nate Kaeding kick),0,7
1,1.0,7:14,Chargers,Nate Kaeding 33 yard field goal,0,10
2,1.0,5:55,Chargers,Darren Sproles 45 yard punt return (pass failed),0,16
3,2.0,8:47,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),0,23
4,2.0,2:42,Colts,Reggie Wayne 8 yard pass from Peyton Manning (Adam Vinatieri kick),7,23
5,4.0,14:53,Colts,Kenton Keith 7 yard pass from Peyton Manning (Bryan Fletcher pass from Peyton Manning),15,23
6,4.0,14:28,Colts,Gary Brackett defensive fumble recovery in end zone (pass failed),21,23
