,Quarter,Time,Tm,Detail,HOU,ARI
0,1.0,14:46,Cardinals,Matt Shaughnessy 6 yard defensive fumble return (Jay Feely kick),0,7
1,1.0,5:55,Texans,Andre Johnson 7 yard pass from Case Keenum (Randy Bullock kick),7,7
2,2.0,13:57,Cardinals,Rob Housler 12 yard pass from Carson Palmer (Jay Feely kick),7,14
3,2.0,9:37,Texans,Ryan Griffin 2 yard pass from Case Keenum (Randy Bullock kick),14,14
4,2.0,6:31,Texans,Randy Bullock 48 yard field goal,17,14
5,3.0,6:06,Cardinals,Jay Feely 35 yard field goal,17,17
6,3.0,0:02,Cardinals,Jay Feely 21 yard field goal,17,20
7,4.0,6:42,Cardinals,Andre Roberts 19 yard pass from Carson Palmer (Jay Feely kick),17,27
8,4.0,4:34,Texans,Andre Johnson 5 yard pass from Case Keenum (Randy Bullock kick),24,27
