,Quarter,Tm,Detail,SFO,PIT
0,2.0,49ers,Charle Young 5 yard pass from Joe Montana (Ray Wersching kick),7,0
1,2.0,49ers,Ray Wersching 45 yard field goal,10,0
2,3.0,Steelers,Mel Blount 50 yard interception return (David Trout kick),10,7
3,3.0,Steelers,Jim Smith 22 yard pass from Terry Bradshaw (David Trout kick),10,14
4,4.0,49ers,Walt Easley 1 yard rush (Ray Wersching kick),17,14
