,Quarter,Tm,Detail,KAN,DAL
0,1.0,Chiefs,Jan Stenerud 51 yard field goal,3,0
1,2.0,Cowboys,Roger Staubach 9 yard rush (Toni Fritsch kick),3,7
2,2.0,Cowboys,Toni Fritsch 31 yard field goal,3,10
3,2.0,Chiefs,John Matuszak defensive fumble recovery in end zone (Jan Stenerud kick),10,10
4,2.0,Cowboys,Golden Richards 15 yard pass from Roger Staubach (Toni Fritsch kick),10,17
5,2.0,Chiefs,Ed Podolak 1 yard rush (Jan Stenerud kick),17,17
6,2.0,Chiefs,Ed Podolak 11 yard rush (Jan Stenerud kick),24,17
7,3.0,Cowboys,Golden Richards 47 yard pass from Roger Staubach (Toni Fritsch kick),24,24
8,3.0,Chiefs,Jan Stenerud 44 yard field goal,27,24
9,3.0,Cowboys,Roger Staubach 1 yard rush (Toni Fritsch kick),27,31
10,4.0,Chiefs,Ed Podolak 5 yard pass from Mike Livingston (Jan Stenerud kick),34,31
