,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Joe Theismann 14 yard rush (Mark Moseley kick),0,7
1,1.0,Redskins,Mark Moseley 33 yard field goal,0,10
2,2.0,Cardinals,Neil O'Donoghue 22 yard field goal,3,10
3,2.0,Redskins,Gary Clark 10 yard pass from Joe Theismann (Mark Moseley kick),3,17
4,3.0,Redskins,Mark Moseley 29 yard field goal,3,20
5,4.0,Cardinals,Ottis Anderson 10 yard rush (Neil O'Donoghue kick),10,20
6,4.0,Redskins,Clint Didier 12 yard pass from Joe Theismann (Mark Moseley kick),10,27
