,Quarter,Time,Tm,Detail,GNB,DAL
0,2.0,,Cowboys,Jay Novacek 10 yard pass from Troy Aikman (Chris Boniol kick),0,7
1,2.0,,Packers,Chris Jacke 42 yard field goal,3,7
2,2.0,,Cowboys,Chris Boniol 24 yard field goal,3,10
3,2.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),3,17
4,3.0,,Cowboys,Michael Irvin 48 yard pass from Troy Aikman (Chris Boniol kick),3,24
5,3.0,,Packers,Brett Favre 4 yard rush (Chris Jacke kick),10,24
6,4.0,,Cowboys,Emmitt Smith 16 yard rush (Chris Boniol kick),10,31
7,4.0,,Packers,Mark Chmura 11 yard pass from Brett Favre (Chris Jacke kick),17,31
8,4.0,,Packers,Brett Favre 21 yard rush (Chris Jacke kick),24,31
9,4.0,,Cowboys,Chris Boniol 35 yard field goal,24,34
