,Quarter,Tm,Detail,SDG,NYG
0,1.0,Chargers,Rolf Benirschke 40 yard field goal,3,0
1,1.0,Chargers,Rolf Benirschke 37 yard field goal,6,0
2,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),13,0
3,2.0,Giants,Ali Haji-Sheikh 20 yard field goal,13,3
4,2.0,Chargers,Charlie Joiner 13 yard pass from Dan Fouts (Rolf Benirschke kick),20,3
5,2.0,Giants,Earnest Gray 51 yard pass from Scott Brunner (Ali Haji-Sheikh kick),20,10
6,2.0,Chargers,Kellen Winslow 16 yard pass from Dan Fouts (Rolf Benirschke kick),27,10
7,2.0,Giants,Danny Pittman 40 yard pass from Scott Brunner (Ali Haji-Sheikh kick),27,17
8,3.0,Giants,Rob Carpenter 1 yard rush (Ali Haji-Sheikh kick),27,24
9,3.0,Chargers,Chuck Muncie 2 yard rush (Rolf Benirschke kick),34,24
10,4.0,Giants,Tom Mullady 21 yard pass from Scott Brunner (Ali Haji-Sheikh kick),34,31
11,4.0,Giants,Ali Haji-Sheikh 37 yard field goal,34,34
12,4.0,Chargers,Chuck Muncie 34 yard rush (Rolf Benirschke kick),41,34
