,Quarter,Tm,Detail,CHI,TAM
0,1,Bears,Bob Thomas 43 yard field goal,3,0
1,2,Bears,Bob Thomas 19 yard field goal,6,0
2,2,Bears,Otis Wilson 39 yard interception return (Bob Thomas kick),13,0
3,2,Buccaneers,Bill Capece 27 yard field goal,13,3
4,2,Buccaneers,Bill Capece 31 yard field goal,13,6
5,2,Bears,Brian Baschnagel 19 yard pass from Jim McMahon (Bob Thomas kick),20,6
6,3,Bears,Bob Thomas 40 yard field goal,23,6
7,3,Buccaneers,Jimmie Giles 35 yard pass from Doug Williams (Bill Capece kick),23,13
8,4,Buccaneers,Jimmie Giles 31 yard pass from Doug Williams (Bill Capece kick),23,20
9,4,Buccaneers,Bill Capece 40 yard field goal,23,23
10,OT,Buccaneers,Bill Capece 33 yard field goal,23,26
