,Quarter,Tm,Detail,KAN,RAI
0,1.0,Raiders,Carl Aikens 27 yard pass from Vince Evans (David Hardy kick),0,7
1,1.0,Raiders,Craig Ellis 2 yard rush (David Hardy kick),0,14
2,2.0,Raiders,Vince Evans 4 yard rush (David Hardy kick),0,21
3,3.0,Chiefs,Bob Harris 23 yard blocked punt return (James Hamrick kick),7,21
4,3.0,Raiders,Ethan Horton 32 yard pass from Vince Evans (David Hardy kick),7,28
5,3.0,Chiefs,Rod Jones 4 yard pass from Matt Stevens (James Hamrick kick),14,28
6,4.0,Raiders,Craig Ellis 8 yard rush (David Hardy kick),14,35
7,4.0,Chiefs,James Hamrick 40 yard field goal,17,35
