,Quarter,Tm,Detail,PIT,NYG
0,2.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),7,0
1,2.0,Steelers,Roy Gerela 21 yard field goal,10,0
2,4.0,Steelers,Franco Harris 1 yard rush (Roy Gerela kick),17,0
3,4.0,Steelers,Roy Gerela 28 yard field goal,20,0
4,4.0,Steelers,Frank Lewis 16 yard rush (Roy Gerela kick),27,0
