,Quarter,Tm,Detail,NYG,GNB
0,2.0,Packers,Bob Monnett 20 yard field goal,0,3
1,3.0,Packers,Bob Monnett 38 yard field goal,0,6
2,3.0,Packers,Roger Grove 22 yard rush (Bob Monnett kick),0,13
3,4.0,Giants,Kink Richards 32 yard rush,6,13
4,4.0,Packers,Buckets Goldenberg 2 yard rush (Bob Monnett kick),6,20
