,Quarter,Tm,Detail,BAL,RAM
0,1.0,Rams,Lou Michaels 15 yard field goal,0,3
1,1.0,Rams,Joe Marconi 1 yard rush (Lou Michaels kick),0,10
2,1.0,Colts,Mike Sommer 53 yard rush (Steve Myhra kick),7,10
3,2.0,Rams,Lou Michaels 19 yard field goal,7,13
4,2.0,Colts,Raymond Berry 7 yard pass from Johnny Unitas (Steve Myhra kick),14,13
5,2.0,Colts,Steve Myhra 47 yard field goal,17,13
6,2.0,Rams,Lou Michaels 40 yard field goal,17,16
7,3.0,Colts,Raymond Berry 11 yard pass from Johnny Unitas (Steve Myhra kick),24,16
8,3.0,Rams,Jon Arnett 27 yard rush (Lou Michaels kick),24,23
9,3.0,Rams,Lou Michaels 27 yard field goal,24,26
10,4.0,Colts,Jerry Richardson 9 yard pass from Johnny Unitas (Steve Myhra kick),31,26
11,4.0,Colts,Dick Szymanski 15 yard interception return (Steve Myhra kick),38,26
12,4.0,Colts,Carl Taseff 99 yard field goal return (Steve Myhra kick),45,26
