,Quarter,Time,Tm,Detail,GNB,NYG
0,1.0,8:49,Packers,Davante Adams 8 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,1.0,3:23,Giants,Sterling Shepard 18 yard pass from Daniel Jones (Aldrick Rosas kick),7,7
2,1.0,1:23,Packers,Allen Lazard 37 yard pass from Aaron Rodgers (Mason Crosby kick),14,7
3,2.0,12:07,Packers,Mason Crosby 47 yard field goal,17,7
4,2.0,2:35,Giants,Aldrick Rosas 27 yard field goal,17,10
5,3.0,6:42,Giants,Aldrick Rosas 45 yard field goal,17,13
6,4.0,14:29,Packers,Davante Adams 17 yard pass from Aaron Rodgers (Mason Crosby kick),24,13
7,4.0,7:11,Packers,Marcedes Lewis 1 yard pass from Aaron Rodgers (Mason Crosby kick),31,13
