,Quarter,Tm,Detail,PRV,NYG
0,1.0,Giants,Lynn Bomar 22 yard pass from Jack McBride (Jack McBride kick),0,7
1,2.0,Steam Roller,Jim Laird 35 yard field goal,3,7
2,3.0,Giants,Jack McBride unknown yard rush,3,13
3,4.0,Steam Roller,Jim Laird unknown yard rush (Jim Laird kick),10,13
4,4.0,Steam Roller,"Safety, intentional by NY punter Haines",12,13
