,Quarter,Time,Tm,Detail,PHI,TAM
0,2.0,14:04,Buccaneers,Ronde Barber 37 yard interception return (Matt Bryant kick),0,7
1,3.0,6:55,Buccaneers,Matt Bryant 30 yard field goal,0,10
2,3.0,5:19,Buccaneers,Ronde Barber 66 yard interception return (Matt Bryant kick),0,17
3,3.0,0:36,Eagles,Thomas Tapeh 12 yard pass from Donovan McNabb (David Akers kick),7,17
4,4.0,8:47,Eagles,Reggie Brown 7 yard pass from Donovan McNabb (David Akers kick),14,17
5,4.0,2:49,Buccaneers,Matt Bryant 44 yard field goal,14,20
6,4.0,0:33,Eagles,Brian Westbrook 52 yard pass from Donovan McNabb (David Akers kick),21,20
7,4.0,0:00,Buccaneers,Matt Bryant 62 yard field goal,21,23
