,Quarter,Time,Tm,Detail,CHI,BUF
0,2.0,13:36,Bills,Steve Christie 27 yard field goal,0,3
1,2.0,4:56,Bears,Paul Edinger 24 yard field goal,3,3
2,2.0,1:01,Bills,Steve Christie 42 yard field goal,3,6
3,3.0,6:57,Bills,Doug Flutie 1 yard rush (Steve Christie kick),3,13
4,4.0,2:40,Bills,Daryl Porter 23 yard defensive fumble return (Steve Christie kick),3,20
