,Quarter,Tm,Detail,RAM,NOR
0,2.0,Rams,Preston Dennard 31 yard pass from Mike Guman (Frank Corral kick),7,0
1,2.0,Rams,Preston Dennard 16 yard pass from Vince Ferragamo (Frank Corral kick),14,0
2,3.0,Rams,Frank Corral 23 yard field goal,17,0
3,4.0,Rams,Elvis Peacock 1 yard rush (Frank Corral kick),24,0
4,4.0,Rams,Frank Corral 19 yard field goal,27,0
5,4.0,Saints,Henry Childs 15 yard pass from Bobby Scott (Benny Ricardo kick),27,7
