,Quarter,Time,Tm,Detail,CLE,PIT
0,1.0,3:29,Browns,Jamel White 3 yard rush (Phil Dawson kick),7,0
1,2.0,13:38,Steelers,Chris Fuamatu-Ma'afala 17 yard rush (Kris Brown kick),7,7
2,3.0,14:44,Steelers,Troy Edwards 32 yard fumble return (Kris Brown kick),7,14
3,3.0,0:07,Steelers,Bobby Shaw 40 yard pass from Tommy Maddox (Kris Brown kick),7,21
4,4.0,7:31,Steelers,R.J. Bowers 21 yard rush (Kris Brown kick),7,28
