,Quarter,Tm,Detail,BAL,GNB
0,2.0,Colts,Jerry Hill 2 yard rush (Jim Martin kick),7,0
1,3.0,Packers,Boyd Dowler 4 yard pass from Bart Starr (Jerry Kramer kick),7,7
2,3.0,Packers,Tom Moore 3 yard rush (Jerry Kramer kick),7,14
3,3.0,Colts,Bobby Boyd 34 yard defensive fumble return (Jim Martin kick),14,14
4,3.0,Colts,Jim Martin 9 yard field goal,17,14
5,4.0,Packers,Boyd Dowler 35 yard pass from Bart Starr (Jerry Kramer kick),17,21
6,4.0,Packers,Jerry Kramer 42 yard field goal,17,24
7,4.0,Colts,Jim Martin 52 yard field goal,20,24
8,4.0,Packers,Earl Gros 6 yard rush (Jerry Kramer kick),20,31
