,Quarter,Tm,Detail,ATL,CLE
0,2.0,Falcons,Greg Davis 30 yard field goal,3,0
1,2.0,Browns,Kevin Mack 5 yard rush (Jerry Kauric kick),3,7
2,2.0,Browns,Jerry Kauric 23 yard field goal,3,10
3,3.0,Browns,Jerry Kauric 41 yard field goal,3,13
4,4.0,Falcons,Floyd Dixon 11 yard pass from Hugh Millen (Greg Davis kick),10,13
