,Quarter,Tm,Detail,IND,MIA
0,1.0,Dolphins,Pete Johnson 1 yard rush (Uwe von Schamann kick),0,7
1,2.0,Colts,Dave Young 5 yard pass from Mike Pagel (Dean Biasucci kick),7,7
2,2.0,Dolphins,Mark Duper 80 yard pass from Dan Marino,7,13
3,2.0,Dolphins,Uwe von Schamann 27 yard field goal,7,16
4,2.0,Dolphins,Mark Duper 5 yard pass from Dan Marino (Uwe von Schamann kick),7,23
5,3.0,Dolphins,Don McNeal 11 yard interception return (Uwe von Schamann kick),7,30
6,3.0,Dolphins,Woody Bennett 4 yard rush (Uwe von Schamann kick),7,37
7,4.0,Dolphins,Woody Bennett 1 yard rush (Uwe von Schamann kick),7,44
