,Quarter,Tm,Detail,GNB,WAS
0,1,Packers,Don Hutson unknown yard pass from Bob Monnett,6,0
1,3,Redskins,Cliff Battles unknown yard rush (Riley Smith kick),6,7
2,4,Redskins,Charley Malone 11 yard pass from Sammy Baugh (Riley Smith kick),6,14
