,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,Bobby Howfield 12 yard field goal,0,3
1,1.0,Broncos,Willis Crenshaw 1 yard rush (Bobby Howfield kick),0,10
2,2.0,Chiefs,Jan Stenerud 55 yard field goal,3,10
3,2.0,Broncos,Billy Masters 2 yard pass from Pete Liske (Bobby Howfield kick),3,17
4,3.0,Chiefs,Jan Stenerud 11 yard field goal,6,17
5,3.0,Chiefs,Wendell Hayes 1 yard rush (Jan Stenerud kick),13,17
6,4.0,Broncos,Bobby Howfield 12 yard field goal,13,20
7,4.0,Broncos,Bobby Howfield 47 yard field goal,13,23
8,4.0,Broncos,Bobby Howfield 28 yard field goal,13,26
