,Quarter,Tm,Detail,DEN,MIN
0,1.0,Vikings,Fuad Reveiz 49 yard field goal,0,3
1,2.0,Broncos,David Treadwell 37 yard field goal,3,3
2,3.0,Vikings,Fuad Reveiz 25 yard field goal,3,6
3,3.0,Broncos,John Elway 17 yard rush (David Treadwell kick),10,6
4,4.0,Broncos,David Treadwell 32 yard field goal,13,6
