,Quarter,Tm,Detail,BUF,BOS
0,2.0,Bulldogs,Hust Stockton unknown yard rush,0,6
1,2.0,Bulldogs,Paul Kittredge unknown yard rush,0,12
2,3.0,Bisons,Swede Hagberg unknown yard pass from Chuck Weimer (Chuck Weimer kick),7,12
