,Quarter,Tm,Detail,NYY,PRV
0,1.0,Steam Roller,Pop Williams 2 yard rush (Gus Sonnenberg kick),0,7
1,1.0,Yankees,Gibby Welch 62 yard interception return (Bo Molenda kick),7,7
2,2.0,Steam Roller,Pop Williams 10 yard rush (Gus Sonnenberg kick),7,14
3,2.0,Steam Roller,Curly Oden 4 yard rush,7,20
