,Quarter,Tm,Detail,DEN,BAL
0,1.0,Broncos,Jim Turner 33 yard field goal,3,0
1,2.0,Colts,Glenn Doughty 19 yard pass from Bill Troup (Toni Linhart kick),3,7
2,2.0,Broncos,Jim Turner 26 yard field goal,6,7
