,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,11:51,Colts,Nyheim Hines 12 yard rush (Rodrigo Blankenship kick),7,0
1,2.0,10:47,Jaguars,DJ Chark 6 yard pass from Gardner Minshew II (Josh Lambo kick),7,7
2,2.0,4:51,Colts,Nyheim Hines 8 yard pass from Philip Rivers (Rodrigo Blankenship kick),14,7
3,2.0,1:44,Jaguars,Laviska Shenault Jr. 15 yard pass from Gardner Minshew II (Josh Lambo kick),14,14
4,2.0,0:09,Colts,Rodrigo Blankenship 38 yard field goal,17,14
5,3.0,3:36,Jaguars,Josh Lambo 50 yard field goal,17,17
6,4.0,9:43,Colts,Rodrigo Blankenship 25 yard field goal,20,17
7,4.0,6:04,Jaguars,Keelan Cole 22 yard pass from Gardner Minshew II (Josh Lambo kick),20,24
8,4.0,2:54,Jaguars,Josh Lambo 46 yard field goal,20,27
