,Quarter,Tm,Detail,NOR,DAL
0,1.0,Cowboys,Mike Clark 21 yard field goal,0,3
1,1.0,Cowboys,Bob Hayes 23 yard pass from Craig Morton (Mike Clark kick),0,10
2,2.0,Saints,Tom Dempsey 37 yard field goal,3,10
3,2.0,Cowboys,Calvin Hill 30 yard rush (Mike Clark kick),3,17
4,2.0,Saints,Danny Abramowicz 14 yard pass from Billy Kilmer (Tom Dempsey kick),10,17
5,3.0,Saints,Danny Abramowicz 17 yard pass from Billy Kilmer (Tom Dempsey kick),17,17
6,4.0,Cowboys,Dan Reeves 7 yard rush,17,23
7,4.0,Cowboys,Mike Ditka 16 yard pass from Craig Morton (Mike Clark kick),17,30
8,4.0,Cowboys,Mike Clark 21 yard field goal,17,33
