,Quarter,Time,Tm,Detail,SFO,KAN
0,1.0,8:24,Chiefs,Kareem Hunt 1 yard rush (Harrison Butker kick),0,7
1,1.0,2:20,Chiefs,Kareem Hunt 1 yard rush (Harrison Butker kick),0,14
2,2.0,11:52,49ers,Kyle Juszczyk 35 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,14
3,2.0,8:54,Chiefs,Chris Conley 4 yard pass from Patrick Mahomes (Harrison Butker kick),7,21
4,2.0,3:37,Chiefs,Demetrius Harris 13 yard pass from Patrick Mahomes (Harrison Butker kick),7,28
5,2.0,0:34,Chiefs,Sammy Watkins 12 yard pass from Patrick Mahomes (Harrison Butker kick),7,35
6,2.0,0:00,49ers,Robbie Gould 39 yard field goal,10,35
7,3.0,8:59,49ers,Marquise Goodwin 11 yard pass from Jimmy Garoppolo (Robbie Gould kick failed),16,35
8,3.0,2:43,49ers,Alfred Morris 3 yard rush (George Kittle pass from Jimmy Garoppolo),24,35
9,4.0,13:47,Chiefs,Harrison Butker 37 yard field goal,24,38
10,4.0,5:17,49ers,Robbie Gould 35 yard field goal,27,38
