,Quarter,Tm,Detail,SDG,BAL
0,1.0,Colts,Roger Carr 29 yard pass from Bert Jones (Mike Wood kick),0,7
1,1.0,Chargers,Chuck Muncie 3 yard rush (Rolf Benirschke kick),7,7
2,2.0,Chargers,John Cappelletti 12 yard pass from Dan Fouts,13,7
3,2.0,Chargers,Charlie Joiner 23 yard pass from Dan Fouts (Rolf Benirschke kick),20,7
4,2.0,Chargers,Rolf Benirschke 30 yard field goal,23,7
5,3.0,Chargers,Chuck Muncie 3 yard rush (Rolf Benirschke kick),30,7
6,3.0,Colts,Curtis Dickey 5 yard pass from Bert Jones (Mike Wood kick),30,14
7,4.0,Chargers,John Cappelletti 1 yard rush,36,14
8,4.0,Chargers,Clarence Williams 7 yard pass from Dan Fouts (Rolf Benirschke kick),43,14
