,Quarter,Time,Tm,Detail,CAR,NOR
0,1,5:15,Panthers,John Kasay 24 yard field goal,3,0
1,2,13:30,Panthers,Stephen Davis 1 yard rush (John Kasay kick),10,0
2,2,7:04,Saints,Joe Horn 14 yard pass from Aaron Brooks (John Carney kick),10,7
3,2,1:17,Saints,Joe Horn 23 yard pass from Aaron Brooks (John Carney kick),10,14
4,2,0:00,Saints,John Carney 46 yard field goal,10,17
5,3,9:14,Panthers,John Kasay 29 yard field goal,13,17
6,4,3:46,Panthers,Stephen Davis 1 yard rush (John Kasay kick),20,17
7,4,0:36,Saints,John Carney 42 yard field goal,20,20
8,OT,10:24,Panthers,John Kasay 31 yard field goal,23,20
