,Quarter,Tm,Detail,CHI,PHI
0,1.0,Eagles,Steve Van Buren 8 yard rush (Cliff Patton kick),0,7
1,3.0,Bears,Ken Kavanaugh 42 yard pass from Johnny Lujack (Johnny Lujack kick),7,7
2,4.0,Eagles,Cliff Patton 38 yard field goal,7,10
3,4.0,Eagles,"Safety, Luckman tackled in end zone by Barnes",7,12
